"SITECODE","BIOGEFRAPHICREG","PERCENTAGE"
"ROSCI0125","Alpine",100
"ROSCI0169","Steppic",100
"ROSCI0377","Continental",100
"ROSCI0336","Continental",100
"ROSCI0384","Continental",100
"ROSPA0118","Steppic",100
"ROSCI0284","Continental",100
"ROSCI0231","Pannonian",100
"ROSCI0228","Alpine",100
"ROSCI0108","Pannonian",100
"ROSCI0254","Continental",100
"ROSCI0270","Alpine",98.2
"ROSCI0270","Continental",1.8
"ROSCI0012","Steppic",100
"ROSPA0102","Continental",100
"ROSCI0216","Continental",100
"ROSCI0147","Continental",100
"ROSPA0068","Continental",100
"ROSPA0090","Continental",100
"ROSPA0002","Steppic",100
"ROSCI0185","Pannonian",100
"ROSCI0235","Continental",100
"ROSCI0051","Alpine",77.57
"ROSCI0051","Continental",22.43
"ROSCI0142","Continental",100
"ROSCI0221","Continental",100
"ROSPA0092","Continental",100
"ROSCI0321","Alpine",100
"ROSCI0143","Continental",100
"ROSPA0076","Marine Black Sea",100
"ROSCI0368","Continental",100
"ROSCI0021","Pannonian",100
"ROSCI0442","Continental",100
"ROSPA0106","Continental",100
"ROSCI0112","Continental",100
"ROSCI0062","Alpine",81.59
"ROSCI0062","Continental",18.41
"ROSCI0361","Continental",100
"ROSCI0104","Pannonian",100
"ROSCI0259","Continental",11.78
"ROSCI0259","Steppic",88.22
"ROSCI0252","Alpine",100
"ROSCI0033","Alpine",100
"ROSCI0166","Continental",100
"ROSCI0038","Alpine",100
"ROSCI0145","Continental",100
"ROSCI0026","Continental",100
"ROSCI0093","Continental",100
"ROSCI0095","Continental",100
"ROSPA0137","Continental",100
"ROSCI0130","Alpine",100
"ROSCI0030","Continental",100
"ROSPA0131","Alpine",100
"ROSCI0103","Alpine",0.54
"ROSCI0103","Continental",24.2
"ROSCI0103","Steppic",75.27
"ROSCI0153","Alpine",100
"ROSPA0038","Continental",99.85
"ROSPA0038","Steppic",0.15
"ROSCI0277","Pannonian",100
"ROSPA0098","Alpine",51.88
"ROSPA0098","Continental",48.12
"ROSPA0108","Continental",100
"ROSPA0052","Steppic",100
"ROSCI0239","Alpine",100
"ROSCI0085","Alpine",100
"ROSCI0144","Continental",100
"ROSPA0122","Continental",100
"ROSCI0073","Black Sea",100
"ROSPA0032","Steppic",100
"ROSCI0141","Continental",100
"ROSCI0106","Continental",100
"ROSPA0101","Steppic",100
"ROSCI0071","Steppic",100
"ROSCI0211","Continental",100
"ROSCI0086","Alpine",100
"ROSCI0258","Alpine",85.79
"ROSCI0258","Continental",14.21
"ROSPA0143","Alpine",4.91
"ROSPA0143","Continental",95.09
"ROSPA0104","Continental",100
"ROSPA0096","Continental",100
"ROSPA0013","Continental",100
"ROSCI0201","Steppic",100
"ROSCI0063","Alpine",99.92
"ROSCI0063","Continental",0.08
"ROSPA0003","Continental",100
"ROSPA0079","Pannonian",100
"ROSCI0305","Steppic",100
"ROSCI0186","Continental",100
"ROSCI0044","Continental",100
"ROSCI0344","Continental",100
"ROSCI0022","Steppic",100
"ROSCI0127","Alpine",100
"ROSPA0138","Alpine",40.44
"ROSCI0373","Continental",100
"ROSPA0067","Pannonian",100
"ROSPA0004","Steppic",100
"ROSCI0286","Steppic",100
"ROSCI0113","Alpine",100
"ROSCI0212","Alpine",100
"ROSCI0037","Alpine",100
"ROSCI0320","Continental",100
"ROSCI0160","Continental",100
"ROSCI0115","Pannonian",100
"ROSCI0393","Continental",100
"ROSPA0015","Continental",1.05
"ROSPA0015","Pannonian",98.95
"ROSCI0041","Continental",100
"LV0301700","Boreal",0
"LV0301800","Boreal",0
"LV0301900","Boreal",0
"LV0302000","Boreal",0
"LV0302100","Boreal",0
"LV0302200","Boreal",0
"LV0302800","Boreal",0
"LV0302900","Boreal",0
"LV0303000","Boreal",0
"LV0303100","Boreal",0
"LV0303200","Boreal",0
"LV0303300","Boreal",0
"LV0303400","Boreal",0
"LV0303500","Boreal",0
"LV0303600","Boreal",0
"LV0303700","Boreal",0
"LV0303800","Boreal",0
"LV0304000","Boreal",0
"LV0304100","Boreal",0
"LV0304200","Boreal",0
"LV0304300","Boreal",0
"LV0304400","Boreal",0
"LV0304500","Boreal",0
"LV0304800","Boreal",0
"LV0304900","Boreal",0
"LV0305000","Boreal",0
"LV0305100","Boreal",0
"LV0305200","Boreal",0
"LV0400400","Boreal",0
"LV0401000","Boreal",0
"LV0401900","Boreal",0
"LV0402200","Boreal",0
"LV0402300","Boreal",0
"LV0412900","Boreal",0
"LV0413300","Boreal",0
"LV0415600","Boreal",0
"LV0415700","Boreal",0
"LV0500100","Boreal",0
"LV0500200","Boreal",0
"LV0500300","Boreal",0
"LV0500500","Boreal",0
"LV0500600","Boreal",0
"LV0500700","Boreal",0
"LV0500800","Boreal",0
"LV0500900","Boreal",0
"LV0501000","Boreal",0
"LV0501100","Boreal",0
"LV0501200","Boreal",0
"LV0501300","Boreal",0
"LV0501500","Boreal",0
"LV0501600","Boreal",0
"LV0502100","Boreal",0
"FI0200122","Boreal",
"FI0200123","Boreal",
"FI0200125","Boreal",
"FI0200126","Boreal",
"FI0200127","Boreal",
"FI0200128","Boreal",
"FI0200129","Boreal",
"FI0200130","Boreal",
"FI0200131","Boreal",
"FI0200132","Boreal",
"FI0200133","Boreal",
"FI0200134","Boreal",
"FI0200137","Boreal",
"FI0200138","Boreal",
"FI0200141","Boreal",
"FI0200143","Boreal",
"FI0200146","Boreal",
"FI0200147","Boreal",
"FI0200148","Boreal",
"FI0200149","Boreal",
"FI0200150","Boreal",
"FI0200151","Boreal",
"FI0200152","Boreal",
"FI0200154","Boreal",
"FI0200155","Boreal",
"FI0200156","Boreal",
"FI0200157","Boreal",
"FI0200158","Boreal",
"FI0200159","Boreal",
"FI0200160","Boreal",
"FI0200161","Boreal",
"FI0200163","Boreal",
"FI0200164","Boreal",
"FI0200165","Boreal",
"FI0200166","Boreal",
"FI0200167","Boreal",
"FI0200168","Boreal",
"FI0200169","Boreal",
"FI0200171","Boreal",
"FI0200172","Boreal",
"FI0200174","Boreal",
"FI0200175","Boreal",
"FI0200176","Boreal",
"FI0200177","Boreal",
"FI0200178","Boreal",
"FI0200179","Boreal",
"FI0200180","Boreal",
"FI0200181","Boreal",
"FI0200182","Boreal",
"FI0200183","Boreal",
"FI0200184","Boreal",
"FI0200185","Boreal",
"FI0200186","Boreal",
"FI0200187","Boreal",
"FI0200188","Boreal",
"FI0200189","Boreal",
"FI0200190","Boreal",
"FI0200191","Boreal",
"FI0200192","Boreal",
"FI0200193","Boreal",
"FI0301001","Boreal",
"FI0301003","Boreal",
"FI0301005","Boreal",
"FI0301007","Boreal",
"FI0301009","Boreal",
"FI0301010","Boreal",
"FI0301011","Boreal",
"FI0301012","Boreal",
"FI1301512","Boreal",
"FI1301513","Boreal",
"FI1301601","Boreal",
"FI1301602","Boreal",
"FI1301603","Boreal",
"FI1301604","Boreal",
"FI1301605","Boreal",
"FI1301606","Boreal",
"FI1301611","Boreal",
"FI1301612","Boreal",
"FI1301613","Boreal",
"FI1301701","Boreal",
"FI1301705","Boreal",
"FI1301706","Boreal",
"FI1301707","Boreal",
"FI1301708","Boreal",
"FI1301712","Boreal",
"FI1301713","Boreal",
"FI1301714","Boreal",
"FI1301715","Boreal",
"FI1301716","Boreal",
"FI1301801","Boreal",
"FI1301802","Boreal",
"FI1301805","Boreal",
"FI1301806","Boreal",
"FI1301807","Boreal",
"FI1301810","Boreal",
"FI1301811","Boreal",
"FI1301812","Boreal",
"FI1301813","Boreal",
"FI1301814","Boreal",
"FI1301901","Boreal",
"FI1301902","Boreal",
"FI1301903","Boreal",
"FI1301904","Boreal",
"FI1301905","Boreal",
"FI1301907","Boreal",
"FI1301908","Boreal",
"FI1301909","Boreal",
"FI1301911","Boreal",
"FI1301912","Boreal",
"FI1301913","Boreal",
"FI1302001","Alpine",
"FI1302002","Alpine",
"FI1302002","Boreal",
"FI1302003","Alpine",
"FI1302004","Alpine",
"FI1302008","Alpine",
"FI1302009","Alpine",
"FI1302010","Alpine",
"FI1302011","Alpine",
"FI1302012","Alpine",
"FI1302013","Alpine",
"FI1302101","Boreal",
"FI1302103","Boreal",
"FI1302104","Boreal",
"FI1302105","Boreal",
"FI1302107","Boreal",
"FI1302108","Boreal",
"FI1400001","Boreal",
"FI1400002","Boreal",
"FI1400003","Boreal",
"FI1400004","Boreal",
"FI1400005","Boreal",
"FI1400006","Boreal",
"FI1400007","Boreal",
"FI1400009","Boreal",
"FI1400010","Boreal",
"ROSPA0082","Alpine",86.99
"ROSPA0082","Continental",13.01
"ROSCI0382","Continental",100
"ROSPA0060","Black Sea",98.97
"ROSPA0060","Steppic",1.03
"ROSPA0109","Continental",100
"ROSCI0107","Continental",100
"ROSCI0283","Alpine",70.02
"ROSCI0283","Continental",29.98
"ROSCI0165","Steppic",100
"ROSPA0089","Alpine",100
"ROSCI0257","Continental",100
"ROSPA0078","Pannonian",100
"ROSCI0019","Alpine",99.39
"ROSCI0019","Continental",0.61
"ROSPA0008","Steppic",100
"ROSCI0401","Pannonian",100
"ROSPA0081","Alpine",100
"ROSCI0215","Steppic",100
"ROSCI0381","Alpine",100
"ROSCI0248","Alpine",100
"ROSCI0183","Continental",100
"ROSCI0293","Marine Black Sea",100
"ROSCI0402","Pannonian",100
"ROSCI0118","Continental",100
"ROSCI0360","Steppic",100
"ROSCI0178","Steppic",100
"ROSCI0043","Continental",100
"ROSPA0103","Pannonian",100
"ROSPA0123","Continental",100
"ROSCI0128","Alpine",88.97
"ROSCI0128","Continental",11.03
"ROSPA0117","Continental",100
"ROSCI0383","Continental",100
"ROSCI0425","Continental",47.25
"ROSCI0425","Pannonian",44.33
"ROSCI0440","Continental",100
"ROSPA016","Alpine",0.54
"ROSPA016","Continental",24.2
"ROSPA016","Steppic",75.27
"ROSPA0161","Continental",100
"ROSPA015","Continental",29.88
"ROSPA015","Steppic",70.12
"ROSPA0167","Steppic",100
"ROSPA015","Continental",100
"ROSPA0171","Alpine",61.66
"ROSPA0171","Continental",38.34
"ROSPA0169","Alpine",100
"ROSPA0168","Continental",44.71
"ROSPA0168","Steppic",55.29
"ROSPA0164","Pannonian",100
"ROSCI0420","Continental",100
"ROSCI0432","Continental",100
"ROSCI0301","Continental",100
"ROSCI0441","Continental",100
"ROSCI0439","Alpine",100
"ROSCI0421","Continental",100
"ROSCI0436","Continental",100
"ROSCI0435","Continental",100
"ROSCI0437","Continental",100
"ROSPA0165","Alpine",97.76
"ROSPA0138","Continental",59.56
"ROSCI0119","Alpine",100
"ROSCI0307","Steppic",100
"ROSPA0046","Continental",100
"ROSPA0139","Continental",100
"ROSCI0036","Alpine",100
"ROSCI0388","Pannonian",100
"ROSPA0088","Alpine",98.67
"ROSPA0088","Continental",1.33
"ROSCI0292","Alpine",100
"ROSCI0247","Alpine",100
"ROSCI0224","Continental",100
"ROSCI0246","Alpine",100
"ROSCI0214","Continental",100
"ROSCI0053","Steppic",100
"ROSCI0082","Continental",100
"ROSCI0072","Steppic",100
"ROSPA0041","Continental",100
"ROSCI0070","Continental",100
"ROSCI0210","Continental",100
"ROSCI0232","Continental",100
"ROSCI0182","Alpine",100
"ROSPA0073","Steppic",100
"ROSPA0023","Continental",100
"ROSCI0296","Continental",100
"ROSCI0249","Alpine",100
"ROSPA0084","Alpine",100
"ROSCI0135","Continental",100
"ROSPA0048","Steppic",100
"ROSPA0050","Continental",100
"ROSCI0314","Continental",100
"ROSCI0047","Alpine",100
"ROSCI0250","Alpine",100
"ROSPA0100","Steppic",100
"ROSCI0054","Alpine",72.96
"ROSCI0054","Continental",27.04
"ROSPA0063","Continental",100
"ROSCI0175","Steppic",100
"ROSCI0167","Continental",100
"ROSCI0300","Continental",100
"ROSCI0046","Alpine",97.36
"ROSCI0046","Continental",2.64
"ROSCI0091","Alpine",100
"ROSCI0260","Alpine",100
"ROSCI0029","Continental",100
"ROSCI0129","Alpine",78.12
"ROSCI0129","Continental",21.88
"ROSCI0084","Alpine",100
"ROSCI0356","Continental",100
"ROSPA0019","Steppic",100
"ROSCI0184","Continental",100
"ROSCI0146","Continental",100
"ROSCI0359","Continental",100
"ROSCI0255","Continental",100
"ROSPA0028","Alpine",5.54
"ROSPA0028","Continental",94.46
"ROSCI0079","Continental",100
"ROSPA0051","Steppic",100
"ROSCI0010","Alpine",100
"ROSPA0056","Steppic",100
"ROSCI0236","Alpine",69.41
"ROSCI0236","Continental",30.59
"LV0502200","Boreal",0
"LV0502300","Boreal",0
"LV0502400","Boreal",0
"LV0502600","Boreal",0
"LV0502800","Boreal",0
"LV0502900","Boreal",0
"LV0503000","Boreal",0
"LV0503300","Boreal",0
"LV0504000","Boreal",0
"LV0504300","Boreal",0
"LV0504400","Boreal",0
"LV0504700","Boreal",0
"LV0504800","Boreal",0
"LV0505200","Boreal",0
"LV0505400","Boreal",0
"LV0505500","Boreal",0
"LV0505600","Boreal",0
"LV0505700","Boreal",0
"LV0505800","Boreal",0
"LV0505900","Boreal",0
"LV0506000","Boreal",0
"LV0506100","Boreal",0
"LV0506200","Boreal",0
"LV0506300","Boreal",0
"LV0506400","Boreal",0
"LV0506500","Boreal",0
"LV0506600","Boreal",0
"LV0507000","Boreal",0
"LV0507100","Boreal",0
"LV0507200","Boreal",0
"LV0507300","Boreal",0
"LV0507400","Boreal",0
"LV0507600","Boreal",0
"LV0507700","Boreal",0
"LV0507800","Boreal",0
"LV0508000","Boreal",0
"LV0508100","Boreal",0
"LV0508300","Boreal",0
"LV0508400","Boreal",0
"LV0508500","Boreal",0
"LV0508600","Boreal",0
"LV0508700","Boreal",0
"LV0509100","Boreal",0
"LV0509500","Boreal",0
"LV0509700","Boreal",0
"LV0509800","Boreal",0
"LV0510000","Boreal",0
"LV0510200","Boreal",0
"LV0510300","Boreal",0
"LV0510400","Boreal",0
"LV0510600","Boreal",0
"LV0510700","Boreal",0
"LV0510800","Boreal",0
"LV0510900","Boreal",0
"LV0511000","Boreal",0
"LV0511100","Boreal",0
"LV0511300","Boreal",0
"LV0511600","Boreal",0
"LV0512100","Boreal",0
"LV0512200","Boreal",0
"LV0512300","Boreal",0
"LV0512700","Boreal",0
"LV0512800","Boreal",0
"LV0513000","Boreal",0
"LV0513100","Boreal",0
"LV0513400","Boreal",0
"LV0513600","Boreal",0
"LV0513700","Boreal",0
"LV0527400","Boreal",0
"LV0527500","Boreal",0
"LV0527600","Boreal",0
"LV0527700","Boreal",0
"LV0527800","Boreal",0
"LV0528000","Boreal",0
"LV0528100","Boreal",0
"LV0528200","Boreal",0
"LV0528300","Boreal",0
"LV0528400","Boreal",0
"LV0528500","Boreal",0
"LV0528600","Boreal",0
"LV0528700","Boreal",0
"LV0528800","Boreal",0
"LV0528900","Boreal",0
"LV0529100","Boreal",0
"LV0529200","Boreal",0
"LV0529300","Boreal",0
"LV0529400","Boreal",0
"LV0529500","Boreal",0
"LV0529700","Boreal",0
"LV0529900","Boreal",0
"LV0530000","Boreal",0
"LV0530100","Boreal",0
"LV0530200","Boreal",0
"LV0530300","Boreal",0
"LV0530400","Boreal",0
"LV0530500","Boreal",0
"LV0530600","Boreal",0
"LV0530700","Boreal",0
"LV0530800","Boreal",0
"LV0530900","Boreal",0
"LV0531000","Boreal",0
"LV0531100","Boreal",0
"LV0531200","Boreal",0
"LV0531300","Boreal",0
"LV0536400","Boreal",0
"LV0536500","Boreal",0
"LV0536600","Boreal",0
"LV0536700","Boreal",0
"LV0600100","Boreal",0
"LV0600200","Boreal",0
"LV0600300","Boreal",0
"LV0600400","Boreal",0
"LV0600500","Boreal",0
"LV0600700","Boreal",0
"LV0600800","Boreal",0
"LV0600900","Boreal",0
"LV0601000","Boreal",0
"LV0804600","Boreal",0
"LV0824700","Boreal",0
"LV0826100","Boreal",0
"LV0826300","Boreal",0
"LV0826800","Boreal",0
"LV0830100","Boreal",0
"LV0830200","Boreal",0
"LV0830300","Boreal",0
"LV0830400","Boreal",0
"FI0312004","Boreal",
"FI0312005","Boreal",
"FI0312006","Boreal",
"FI0312007","Boreal",
"FI0312008","Boreal",
"FI0315001","Boreal",
"FI0315002","Boreal",
"FI0315003","Boreal",
"FI0315005","Boreal",
"FI0315006","Boreal",
"BE2500831","Atlantic",0
"BE2500932","Atlantic",0
"BE2501033","Atlantic",0
"BE2524317","Atlantic",0
"BE31001C0","Atlantic",100
"BE31002C0","Atlantic",100
"BE31003C0","Atlantic",100
"BE31004C0","Atlantic",100
"BE31005C0","Atlantic",100
"BE31006C0","Atlantic",100
"BE31007C0","Atlantic",100
"BE31008C0","Atlantic",100
"BE31009B0","Atlantic",100
"BE31010C0","Atlantic",100
"BE31011C0","Atlantic",100
"BE31012C0","Atlantic",100
"BE32001C0","Atlantic",100
"BE32002C0","Atlantic",100
"BE32003C0","Atlantic",100
"BE32004C0","Atlantic",100
"BE32005C0","Atlantic",100
"BE32006C0","Atlantic",100
"BE32007C0","Atlantic",100
"BE32008B0","Atlantic",100
"BE32010C0","Atlantic",100
"BE32011C0","Atlantic",100
"BE32012C0","Atlantic",100
"BE32014C0","Atlantic",100
"BE32015B0","Atlantic",100
"BE32016C0","Atlantic",100
"BE32017C0","Atlantic",100
"BE32018C0","Atlantic",100
"BE32019C0","Atlantic",100
"BE32020C0","Atlantic",100
"BE32021C0","Continental",88.44
"BE32021C0","Atlantic",11.56
"BE32022B0","Continental",100
"BE32023C0","Continental",100
"BE32024C0","Continental",100
"BE32025C0","Atlantic",100
"BE32026C0","Atlantic",0.42
"BE32026C0","Continental",99.58
"BE32027C0","Continental",100
"BE32029C0","Continental",100
"BE32030C0","Continental",100
"BE32031C0","Continental",100
"BE32032C0","Continental",100
"BE32033C0","Continental",100
"BE32034C0","Continental",100
"BE32035C0","Continental",100
"BE32036C0","Continental",100
"BE32037C0","Continental",100
"BE32038C0","Continental",100
"BE32039C0","Continental",100
"BE32040C0","Continental",100
"BE32041B0","Continental",100
"BE32042B0","Continental",100
"BE32044C0","Atlantic",100
"BE32045C0","Atlantic",100
"BE32046C0","Atlantic",100
"BE32047C0","Continental",100
"BE33001B0","Atlantic",100
"BE33002B0","Continental",0.06
"BE33002B0","Atlantic",99.94
"BE33003C0","Continental",55.67
"BE33003C0","Atlantic",44.33
"BE33004C0","Continental",100
"BE33005C0","Continental",100
"BE33006C0","Continental",100
"BE33007C0","Continental",100
"BE33008C0","Atlantic",100
"BE33009C0","Atlantic",100
"BE33010C0","Atlantic",1.72
"BE33010C0","Continental",98.28
"BE33011C0","Continental",100
"BE33012C0","Continental",100
"BE33013C0","Continental",100
"BE33014C0","Continental",100
"BE33015C0","Continental",100
"BE33016C0","Continental",100
"BE33017C0","Continental",100
"BE33018C0","Continental",100
"BE33019C0","Continental",100
"BE33020C0","Continental",100
"BE33021C0","Continental",100
"BE33022C0","Continental",100
"BE33023C0","Continental",100
"BE33024C0","Continental",100
"BE33025C0","Continental",100
"BE33026C0","Continental",100
"BE33027C0","Continental",100
"BE33028C0","Continental",100
"BE33029C0","Continental",100
"BE33030C0","Continental",100
"BE33031C0","Continental",100
"BE33032C0","Continental",100
"BE33033C0","Continental",100
"BE33034C0","Continental",100
"BE33035C0","Continental",100
"BE33036C0","Continental",100
"BE33037C0","Continental",100
"BE33038C0","Continental",100
"BE33039C0","Continental",100
"BE33040C0","Continental",100
"BE33041C0","Continental",100
"BE33042C0","Continental",100
"BE33043C0","Continental",100
"BE33044C0","Continental",100
"BE33045C0","Continental",100
"BE33046C0","Continental",100
"BE33047C0","Continental",100
"BE33048C0","Continental",100
"BE33049C0","Continental",100
"BE33050C0","Continental",100
"BE33051C0","Continental",100
"BE33052C0","Continental",100
"BE33053C0","Continental",100
"BE33054C0","Continental",100
"BE33055C0","Continental",100
"LV0513800","Boreal",0
"LV0513900","Boreal",0
"LV0514100","Boreal",0
"LV0514200","Boreal",0
"LV0514500","Boreal",0
"LV0514800","Boreal",0
"LV0515100","Boreal",0
"LV0515300","Boreal",0
"LV0515800","Boreal",0
"LV0515900","Boreal",0
"LV0516000","Boreal",0
"LV0516200","Boreal",0
"LV0517000","Boreal",0
"LV0517100","Boreal",0
"LV0517200","Boreal",0
"LV0517300","Boreal",0
"LV0517400","Boreal",0
"LV0517500","Boreal",0
"LV0518300","Boreal",0
"LV0518500","Boreal",0
"LV0518600","Boreal",0
"LV0518700","Boreal",0
"LV0518900","Boreal",0
"LV0519000","Boreal",0
"LV0519100","Boreal",0
"LV0519800","Boreal",0
"LV0520000","Boreal",0
"LV0520200","Boreal",0
"LV0520300","Boreal",0
"LV0520500","Boreal",0
"LV0520900","Boreal",0
"LV0521100","Boreal",0
"LV0521300","Boreal",0
"LV0521500","Boreal",0
"LV0521800","Boreal",0
"LV0522000","Boreal",0
"LV0522100","Boreal",0
"LV0522300","Boreal",0
"LV0522600","Boreal",0
"LV0522900","Boreal",0
"LV0523000","Boreal",0
"LV0523100","Boreal",0
"LV0523200","Boreal",0
"LV0523300","Boreal",0
"LV0523400","Boreal",0
"LV0524100","Boreal",0
"LV0524500","Boreal",0
"LV0524600","Boreal",0
"LV0524800","Boreal",0
"LV0524900","Boreal",0
"LV0525000","Boreal",0
"LV0525100","Boreal",0
"LV0525200","Boreal",0
"LV0525300","Boreal",0
"LV0525400","Boreal",0
"LV0525500","Boreal",0
"LV0525600","Boreal",0
"LV0525800","Boreal",0
"LV0525900","Boreal",0
"LV0526100","Boreal",0
"LV0526200","Boreal",0
"LV0526400","Boreal",0
"LV0526500","Boreal",0
"LV0526700","Boreal",0
"LV0526800","Boreal",0
"LV0527000","Boreal",0
"LV0527200","Boreal",0
"LV0527300","Boreal",0
"FI0315007","Boreal",
"FI0316001","Boreal",
"BE1000001","Atlantic",100
"BE1000002","Atlantic",100
"BE1000003","Atlantic",100
"BE2100015","Atlantic",0
"BE2100016","Atlantic",0
"BE2100017","Atlantic",0
"BE2100019","Atlantic",0
"BE2100020","Atlantic",0
"BE2100024","Atlantic",0
"BE2100026","Atlantic",0
"BE2100040","Atlantic",0
"BE2100045","Atlantic",0
"BE2100323","Atlantic",0
"BE2100424","Atlantic",0
"BE2101437","Atlantic",0
"BE2101538","Atlantic",0
"BE2101639","Atlantic",0
"BE2200028","Atlantic",0
"BE2200029","Atlantic",0
"BE2200030","Atlantic",0
"BE2200031","Atlantic",0
"BE2200032","Atlantic",0
"BE2200033","Atlantic",0
"BE2200034","Atlantic",0
"BE2200035","Atlantic",0
"BE2200036","Atlantic",0
"BE2200037","Atlantic",0
"BE2200038","Atlantic",0
"BE2200039","Continental",0
"BE2200041","Atlantic",0
"BE2200042","Atlantic",0
"BE2200043","Atlantic",0
"BE2200525","Atlantic",0
"BE2200626","Atlantic",0
"BE2200727","Atlantic",0
"BE2217310","Atlantic",0
"BE2218311","Atlantic",0
"BE2219312","Atlantic",0
"BE2220313","Atlantic",0
"BE2221314","Atlantic",0
"BE2223316","Atlantic",0
"BE2300005","Atlantic",0
"BE2300006","Atlantic",0
"BE2300007","Atlantic",0
"BE2300044","Atlantic",0
"BE2300222","Atlantic",0
"BE2301134","Atlantic",0
"BE2301235","Atlantic",0
"BE2301336","Atlantic",0
"BE2400008","Atlantic",0
"BE2400009","Atlantic",0
"BE2400010","Atlantic",0
"BE2400011","Atlantic",0
"BE2400012","Atlantic",0
"BE2400014","Atlantic",0
"BE2422315","Atlantic",0
"BE2500001","Atlantic",0
"BE2500002","Atlantic",0
"BE2500003","Atlantic",0
"BE2500004","Atlantic",0
"BE2500121","Atlantic",0
"BE33056C0","Continental",100
"BE33057C0","Continental",100
"BE33058C0","Continental",100
"BE33059C0","Continental",100
"BE33060C0","Continental",100
"BE33061C0","Continental",100
"BE33062C0","Continental",100
"BE33063C0","Continental",100
"BE33064C0","Continental",100
"BE33065C0","Continental",100
"BE33066B0","Continental",100
"BE33067C0","Continental",100
"BE34001C0","Continental",100
"BE34002C0","Continental",100
"BE34003C0","Continental",100
"BE34004C0","Continental",100
"BE34005C0","Continental",100
"BE34006C0","Continental",100
"BE34007C0","Continental",100
"BE34008C0","Continental",100
"BE34009C0","Continental",100
"BE34010C0","Continental",100
"BE34011C0","Continental",100
"BE34012C0","Continental",100
"BE34013C0","Continental",100
"BE34014C0","Continental",100
"BE34015C0","Continental",100
"BE34016C0","Continental",100
"BE34017C0","Continental",100
"BE34018C0","Continental",100
"BE34019C0","Continental",100
"BE34020C0","Continental",100
"BE34021B0","Continental",100
"BE34022C0","Continental",100
"BE34023C0","Continental",100
"BE34024C0","Continental",100
"BE34025C0","Continental",100
"BE34026C0","Continental",100
"BE34027C0","Continental",100
"BE34028C0","Continental",100
"BE34029C0","Continental",100
"BE34030C0","Continental",100
"BE34031C0","Continental",100
"BE34032C0","Continental",100
"BE34033C0","Continental",100
"BE34034C0","Continental",100
"BE34035C0","Continental",100
"BE34036C0","Continental",100
"BE34037C0","Continental",100
"BE34038C0","Continental",100
"BE34039C0","Continental",100
"BE34040C0","Continental",100
"BE34041C0","Continental",100
"BE34042C0","Continental",100
"BE34043C0","Continental",100
"BE34044C0","Continental",100
"BE34045C0","Continental",100
"BE34046C0","Continental",100
"BE34047C0","Continental",100
"BE34048C0","Continental",100
"BE34049C0","Continental",100
"BE34050C0","Continental",100
"BE34051C0","Continental",100
"BE34052C0","Continental",100
"BE34053C0","Continental",100
"BE34054C0","Continental",100
"BE34055C0","Continental",100
"BE34056C0","Continental",100
"BE34057C0","Continental",100
"BE34058C0","Continental",100
"BE34059C0","Continental",100
"BE34060C0","Continental",100
"BE34061C0","Continental",100
"BE34062C0","Continental",100
"BE34063C0","Continental",100
"BE34064C0","Continental",100
"BE34065C0","Continental",100
"BE34066C0","Continental",100
"BE34067C0","Continental",100
"BE34068C0","Continental",100
"BE34069B0","Continental",100
"BE35001A0","Atlantic",100
"BE35002C0","Continental",26.66
"BE35002C0","Atlantic",73.34
"BE35003C0","Continental",100
"BE35004C0","Continental",91.71
"BE35004C0","Atlantic",8.29
"BE35005C0","Continental",100
"BE35006C0","Continental",99.15
"BE35006C0","Atlantic",0.85
"BE35007C0","Continental",100
"BE35008C0","Continental",100
"BE35009C0","Continental",100
"BE35010C0","Continental",100
"BE35011C0","Continental",100
"BE35012C0","Continental",100
"BE35013C0","Continental",100
"BE35014C0","Continental",100
"BE35015C0","Continental",100
"BE35016C0","Continental",100
"BE35017C0","Continental",100
"BE35018C0","Continental",100
"BE35019C0","Continental",100
"BE35020C0","Continental",100
"BE35021C0","Continental",100
"BE35022C0","Continental",100
"BE35023C0","Continental",100
"BE35024C0","Continental",100
"LV0830500","Boreal",0
"LV0830600","Boreal",0
"LV0830700","Boreal",0
"LV0830800","Boreal",0
"LV0830900","Boreal",0
"LV0831000","Boreal",0
"LV0831100","Boreal",0
"LV0831300","Boreal",0
"LV0831400","Boreal",0
"LV0831500","Boreal",0
"SE0110138","Boreal",100
"SE0110139","Boreal",100
"SE0110140","Boreal",100
"SE0110141","Boreal",100
"SE0110142","Boreal",100
"SE0110145","Boreal",100
"SE0110146","Boreal",100
"SE0110147","Boreal",100
"SE0110149","Boreal",100
"SE0110150","Boreal",100
"SE0110151","Boreal",100
"SE0110152","Boreal",100
"SE0110153","Boreal",100
"SE0110154","Boreal",100
"SE0110155","Boreal",100
"SE0110156","Boreal",100
"SE0110158","Boreal",100
"SE0110159","Boreal",100
"SE0110161","Boreal",100
"SE0110163","Boreal",100
"SE0110164","Boreal",100
"SE0110165","Boreal",100
"SE0110166","Boreal",100
"SE0110167","Boreal",100
"SE0110168","Boreal",100
"SE0110169","Boreal",100
"SE0110170","Boreal",100
"SE0110171","Boreal",100
"SE0110172","Boreal",100
"SE0110173","Boreal",100
"SE0110174","Boreal",100
"SE0110176","Boreal",100
"SE0110178","Boreal",100
"SE0110179","Boreal",100
"SE0110180","Boreal",100
"SE0110181","Boreal",100
