"SITECODE","NAME","EMAIL","ADDRESS_UNSTRUCTURED","ADMINUNIT","THOROUGHFARE","DESIGNATOR","POSTCODE","POSTNAME","ADDRESS","LOCATORNAME"
"FI0100094","","","Uudenmaan ympäristökeskus Ylitarkastaja Ilpo HuolmanPL 3600521 HELSINKI","","","","","","",""
"FI0100095","","","Uudenmaan ympäristökeskus Ylitarkastaja Ilpo HuolmanPL 3600521 HELSINKI","","","","","","",""
"FI0100096","","","Uudenmaan ympäristökeskus Ylitarkastaja Leena EerolaPL 3600521 HELSINKI","","","","","","",""
"FI0100097","","","Metsähallitus, Etelä-Suomen luontopalvelut PL 9401301 Vantaa","","","","","","",""
"FI0100098","","","Uudenmaan ympäristökeskus Ylitarkastaja Ilpo HuolmanPL 3600521 HELSINKI","","","","","","",""
"FI0100099","","","Uudenmaan ympäristökeskus Ylitarkastaja Leena EerolaPL 3600521 HELSINKI","","","","","","",""
"FI0100100","","","Uudenmaan ympäristökeskus Ylitarkastaja Leena EerolaPL 3600521 HELSINKI","","","","","","",""
"FI0100101","","","Metsähallitus, Etelä-Suomen luontopalvelut PL 9401301 Vantaa","","","","","","",""
"FI0100102","","","Uudenmaan ympäristökeskus Ylitarkastaja Ilpo HuolmanPL 3600521 HELSINKI","","","","","","",""
"FI0100103","","","Uudenmaan ympäristökeskus PL 3600521 HELSINKI","","","","","","",""
"FI0100104","","","Uudenmaan elinkeino-, liikenne- ja ympäristökeskus","","","","","","",""
"FI0100105","","","Uudenmaan ympäristökeskus PL 36, 00521 Helsinki","","","","","","",""
"FI0100106","","","Metsähallitus","","","","","","",""
"FI0100107","","","Metsähallitus","","","","","","",""
"FI0200001","","","Lounais-Suomen ympäristökeskus PL 47  20801 Turku","","","","","","",""
"FI0200002","","","Lounais-Suomen ympäristökeskus Pl 47  20810 Turku","","","","","","",""
"FI0200003","","","Lounais-Suomen ympäristökeskus Pl 47   20801 Turku","","","","","","",""
"FI0200004","","","Lounais-Suomen ympäristökeskus Pl 47  20801 Turku","","","","","","",""
"FI0200005","","","Lounais-Suomen ympäristökeskus Pl 47   20801 Turku","","","","","","",""
"FI0200007","","","Lounais-Suomen ympäristökeskus Pl 47  20801 Turku","","","","","","",""
"FI0200008","","","Lounais-Suomen ympäristökeskus Pl 47  20801 Turku","","","","","","",""
"FI0200009","","","Lounais-Suomen ympäristökeskus Pl 47  20801 Turku","","","","","","",""
"FI0200010","","","Lounais-Suomen ympäristökeskus Pl 47  20801 Turku","","","","","","",""
"FI0200011","","","Lounais-Suomen ympäristökeskus Pl 47  20801 Turku","","","","","","",""
"FI0200012","","","Lounais-Suomen ympäristökeskus Pl 47   20801 Turku","","","","","","",""
