"DIRECTIVE","SPECIESNAME","ANNEXII","ANNEXII1","ANNEXII2","ANNEXIII1","ANNEXIII2","ANNEXIV","ANNEXV","SPBCAX1"
"Birds Directive","Hippolais pallida","N","N","N","N","N","","",""
"Birds Directive","Hippolais polyglotta","N","N","N","N","N","","",""
"Birds Directive","Hirundo daurica","N","N","N","N","N","","",""
"Birds Directive","Hirundo rustica","N","N","N","N","N","","",""
"Birds Directive","Histrionicus histrionicus","N","N","N","N","N","","",""
"Birds Directive","Hoplopterus spinosus","Y","N","N","N","N","","",""
"Birds Directive","Hydrobates pelagicus","Y","N","N","N","N","","",""
"Birds Directive","Irania gutturalis","N","N","N","N","N","","",""
"Birds Directive","Ixobrychus minutus","Y","N","N","N","N","","",""
"Birds Directive","Jynx torquilla","N","N","N","N","N","","",""
"Birds Directive","Ketupa zeylonensis","N","N","N","N","N","","",""
"Birds Directive","Lagopus lagopus","N","N","N","N","N","","",""
"Birds Directive","Lagopus lagopus hibernicus","N","Y","N","Y","N","","",""
"Birds Directive","Lagopus lagopus lagopus","N","N","Y","Y","N","","",""
"Birds Directive","Lagopus lagopus scoticus","N","Y","N","Y","N","","",""
"Birds Directive","Lagopus mutus","N","Y","N","N","Y","","",""
"Birds Directive","Lagopus mutus helveticus","Y","N","N","N","N","","",""
"Birds Directive","Lagopus mutus pyrenaicus","Y","N","N","N","N","","",""
"Birds Directive","Lanius collurio","Y","N","N","N","N","","",""
"Birds Directive","Lanius excubitor","N","N","N","N","N","","",""
"Birds Directive","Lanius minor","Y","N","N","N","N","","",""
"Birds Directive","Lanius nubicus","Y","N","N","N","N","","",""
"Birds Directive","Lanius senator","N","N","N","N","N","","",""
"Birds Directive","Larus argentatus","N","N","Y","N","N","","",""
"Birds Directive","Larus audouinii","Y","N","N","N","N","","",""
"Birds Directive","Larus cachinnans","N","N","Y","N","N","","",""
"Birds Directive","Larus canus","N","N","Y","N","N","","",""
"Birds Directive","Larus delawarensis","N","N","N","N","N","","",""
"Birds Directive","Larus fuscus","N","N","Y","N","N","","",""
"Birds Directive","Larus genei","Y","N","N","N","N","","",""
"Birds Directive","Larus glaucoides","N","N","N","N","N","","",""
"Birds Directive","Larus hyperboreus","N","N","N","N","N","","",""
"Birds Directive","Larus marinus","N","N","Y","N","N","","",""
"Birds Directive","Larus melanocephalus","Y","N","N","N","N","","",""
"Birds Directive","Larus michahellis","N","N","N","N","N","","",""
"Birds Directive","Larus minutus","Y","N","N","N","N","","",""
"Birds Directive","Larus ridibundus","N","N","Y","N","N","","",""
"Birds Directive","Larus sabini","N","N","N","N","N","","",""
"Birds Directive","Limicola falcinellus","N","N","N","N","N","","",""
"Birds Directive","Limosa lapponica","Y","N","Y","N","N","","",""
"Birds Directive","Limosa limosa","N","N","Y","N","N","","",""
"Birds Directive","Locustella fluviatilis","N","N","N","N","N","","",""
"Birds Directive","Locustella luscinioides","N","N","N","N","N","","",""
"Birds Directive","Locustella naevia","N","N","N","N","N","","",""
"Birds Directive","Loxia curvirostra","N","N","N","N","N","","",""
"Birds Directive","Loxia leucoptera","N","N","N","N","N","","",""
"Birds Directive","Loxia pytyopsittacus","N","N","N","N","N","","",""
"Birds Directive","Loxia scotica","Y","N","N","N","N","","",""
"Birds Directive","Lullula arborea","Y","N","N","N","N","","",""
"Birds Directive","Luscinia luscinia","N","N","N","N","N","","",""
"Birds Directive","Luscinia megarhynchos","N","N","N","N","N","","",""
"Birds Directive","Luscinia svecica","Y","N","N","N","N","","",""
"Birds Directive","Lymnocryptes minimus","N","Y","N","N","Y","","",""
"Birds Directive","Marmaronetta angustirostris","Y","N","N","N","N","","",""
"Birds Directive","Melanitta fusca","N","N","Y","N","N","","",""
"Birds Directive","Melanitta nigra","N","N","Y","N","Y","","",""
"Birds Directive","Melanocorypha bimaculata","N","N","N","N","N","","",""
"Birds Directive","Melanocorypha calandra","Y","N","N","N","N","","",""
"Birds Directive","Melanocorypha leucoptera","N","N","N","N","N","","",""
"Birds Directive","Melanocorypha yeltoniensis","N","N","N","N","N","","",""
"Birds Directive","Meleagris gallopavo","N","N","Y","N","N","","",""
"Birds Directive","Mergus albellus","Y","N","N","N","N","","",""
"Birds Directive","Mergus merganser","N","N","Y","N","N","","",""
"Birds Directive","Mergus serrator","N","N","Y","N","N","","",""
"Birds Directive","Merops apiaster","N","N","N","N","N","","",""
"Birds Directive","Miliaria calandra","N","N","N","N","N","","",""
"Birds Directive","Milvus migrans","Y","N","N","N","N","","",""
"Birds Directive","Milvus milvus","Y","N","N","N","N","","",""
"Birds Directive","Monticola saxatilis","N","N","N","N","N","","",""
"Birds Directive","Monticola solitarius","N","N","N","N","N","","",""
"Birds Directive","Montifringilla nivalis","N","N","N","N","N","","",""
"Birds Directive","Motacilla alba","N","N","N","N","N","","",""
